entry_id,persona_id,t_index,date,dimension,persisted_label,consensus_label,confidence_tier,consensus_agreement,label_changed,pass_1_label,pass_2_label,pass_3_label,pass_4_label,pass_5_label
013d8101__0,013d8101,0,2025-12-01,achievement,0,0,unanimous,5,false,0,0,0,0,0
013d8101__2,013d8101,2,2025-12-20,achievement,0,0,unanimous,5,false,0,0,0,0,0
019235dc__5,019235dc,5,2025-02-01,achievement,0,0,unanimous,5,false,0,0,0,0,0
019235dc__9,019235dc,9,2025-02-09,achievement,1,0,unanimous,5,true,0,0,0,0,0
01b6f22a__5,01b6f22a,5,2025-04-04,achievement,0,1,bare_majority,3,true,0,1,1,1,0
056f46ad__0,056f46ad,0,2025-12-01,achievement,0,0,unanimous,5,false,0,0,0,0,0
056f46ad__3,056f46ad,3,2025-12-28,achievement,1,1,unanimous,5,false,1,1,1,1,1
06f1d745__0,06f1d745,0,2025-12-04,achievement,0,0,unanimous,5,false,0,0,0,0,0
06f1d745__4,06f1d745,4,2025-12-10,achievement,0,0,unanimous,5,false,0,0,0,0,0
075f8fdb__0,075f8fdb,0,2025-01-07,achievement,0,0,unanimous,5,false,0,0,0,0,0
08c7f073__4,08c7f073,4,2025-10-17,achievement,0,0,unanimous,5,false,0,0,0,0,0
08c7f073__5,08c7f073,5,2025-10-20,achievement,0,0,unanimous,5,false,0,0,0,0,0
0a2fe15c__0,0a2fe15c,0,2025-12-01,achievement,0,0,unanimous,5,false,0,0,0,0,0
0ad04582__1,0ad04582,1,2025-12-06,achievement,0,0,unanimous,5,false,0,0,0,0,0
0d272008__2,0d272008,2,2025-12-09,achievement,0,0,unanimous,5,false,0,0,0,0,0
0d272008__5,0d272008,5,2025-12-19,achievement,0,0,bare_majority,3,false,1,0,0,1,0
0d42f985__3,0d42f985,3,2025-08-25,achievement,1,1,unanimous,5,false,1,1,1,1,1
0e9a45e9__0,0e9a45e9,0,2025-12-01,achievement,0,0,unanimous,5,false,0,0,0,0,0
0e9a45e9__1,0e9a45e9,1,2025-12-10,achievement,0,0,unanimous,5,false,0,0,0,0,0
110fcd4f__1,110fcd4f,1,2025-06-25,achievement,0,0,unanimous,5,false,0,0,0,0,0
