entry_id,persona_id,t_index,date,dimension,persisted_label,consensus_label,confidence_tier,consensus_agreement,label_changed,pass_1_label,pass_2_label,pass_3_label,pass_4_label,pass_5_label
013d8101__0,013d8101,0,2025-12-01,achievement,0,0,unanimous,5,false,0,0,0,0,0
013d8101__1,013d8101,1,2025-12-11,achievement,0,0,unanimous,5,false,0,0,0,0,0
013d8101__2,013d8101,2,2025-12-20,achievement,0,0,unanimous,5,false,0,0,0,0,0
019235dc__0,019235dc,0,2025-01-15,achievement,1,1,unanimous,5,false,1,1,1,1,1
019235dc__1,019235dc,1,2025-01-15,achievement,1,1,unanimous,5,false,1,1,1,1,1
019235dc__2,019235dc,2,2025-01-22,achievement,1,1,unanimous,5,false,1,1,1,1,1
019235dc__3,019235dc,3,2025-01-29,achievement,1,1,unanimous,5,false,1,1,1,1,1
019235dc__4,019235dc,4,2025-02-01,achievement,1,1,unanimous,5,false,1,1,1,1,1
019235dc__5,019235dc,5,2025-02-01,achievement,0,0,unanimous,5,false,0,0,0,0,0
019235dc__6,019235dc,6,2025-02-02,achievement,1,1,unanimous,5,false,1,1,1,1,1
019235dc__7,019235dc,7,2025-02-07,achievement,0,0,unanimous,5,false,0,0,0,0,0
019235dc__8,019235dc,8,2025-02-09,achievement,1,1,unanimous,5,false,1,1,1,1,1
019235dc__9,019235dc,9,2025-02-09,achievement,1,0,bare_majority,3,true,1,1,0,0,0
01b6f22a__0,01b6f22a,0,2025-03-20,achievement,1,0,bare_majority,3,true,0,1,1,0,0
01b6f22a__1,01b6f22a,1,2025-03-20,achievement,0,0,strong,4,false,0,0,1,0,0
01b6f22a__2,01b6f22a,2,2025-03-20,achievement,0,0,unanimous,5,false,0,0,0,0,0
01b6f22a__3,01b6f22a,3,2025-03-26,achievement,0,0,unanimous,5,false,0,0,0,0,0
01b6f22a__4,01b6f22a,4,2025-03-30,achievement,0,0,unanimous,5,false,0,0,0,0,0
01b6f22a__5,01b6f22a,5,2025-04-04,achievement,0,0,unanimous,5,false,0,0,0,0,0
01b6f22a__6,01b6f22a,6,2025-04-05,achievement,0,0,unanimous,5,false,0,0,0,0,0
01b6f22a__7,01b6f22a,7,2025-04-07,achievement,0,0,unanimous,5,false,0,0,0,0,0
01b6f22a__8,01b6f22a,8,2025-04-13,achievement,0,0,unanimous,5,false,0,0,0,0,0
02fb94f3__0,02fb94f3,0,2025-04-15,achievement,0,0,unanimous,5,false,0,0,0,0,0
02fb94f3__1,02fb94f3,1,2025-04-20,achievement,0,0,unanimous,5,false,0,0,0,0,0
02fb94f3__2,02fb94f3,2,2025-04-21,achievement,1,1,unanimous,5,false,1,1,1,1,1
02fb94f3__3,02fb94f3,3,2025-04-27,achievement,0,-1,bare_majority,3,true,-1,0,0,-1,-1
02fb94f3__4,02fb94f3,4,2025-05-02,achievement,0,0,unanimous,5,false,0,0,0,0,0
02fb94f3__5,02fb94f3,5,2025-05-02,achievement,0,0,unanimous,5,false,0,0,0,0,0
02fb94f3__6,02fb94f3,6,2025-05-05,achievement,1,1,unanimous,5,false,1,1,1,1,1
02fb94f3__7,02fb94f3,7,2025-05-06,achievement,0,0,unanimous,5,false,0,0,0,0,0
02fb94f3__8,02fb94f3,8,2025-05-10,achievement,0,0,unanimous,5,false,0,0,0,0,0
02fb94f3__9,02fb94f3,9,2025-05-15,achievement,1,1,unanimous,5,false,1,1,1,1,1
02fb94f3__10,02fb94f3,10,2025-05-22,achievement,0,0,unanimous,5,false,0,0,0,0,0
02fb94f3__11,02fb94f3,11,2025-05-22,achievement,0,0,unanimous,5,false,0,0,0,0,0
0465b7ad__0,0465b7ad,0,2025-04-11,achievement,0,0,unanimous,5,false,0,0,0,0,0
0465b7ad__1,0465b7ad,1,2025-04-17,achievement,0,1,strong,4,true,0,1,1,1,1
0465b7ad__2,0465b7ad,2,2025-04-24,achievement,0,0,strong,4,false,0,0,0,1,0
0465b7ad__3,0465b7ad,3,2025-04-24,achievement,0,0,unanimous,5,false,0,0,0,0,0
0465b7ad__4,0465b7ad,4,2025-04-26,achievement,0,1,unanimous,5,true,1,1,1,1,1
0465b7ad__5,0465b7ad,5,2025-04-27,achievement,0,0,unanimous,5,false,0,0,0,0,0
0465b7ad__6,0465b7ad,6,2025-04-27,achievement,0,0,unanimous,5,false,0,0,0,0,0
0465b7ad__7,0465b7ad,7,2025-04-30,achievement,0,0,unanimous,5,false,0,0,0,0,0
