pass_index,pass_name,shard_id,prompt_path,result_path,n_entries,n_personas,first_entry_id,last_entry_id,persona_ids_json
1,pass_1,pass_1_shard_001,logs/exports/twinkl_754/shards/pass_1/pass_1_shard_001.jsonl,logs/exports/twinkl_754/results/pass_1/shards/pass_1_shard_001_results.jsonl,22,3,013d8101__0,01b6f22a__8,"[""013d8101"", ""019235dc"", ""01b6f22a""]"
1,pass_1,pass_1_shard_002,logs/exports/twinkl_754/shards/pass_1/pass_1_shard_002.jsonl,logs/exports/twinkl_754/results/pass_1/shards/pass_1_shard_002_results.jsonl,24,2,02fb94f3__0,0465b7ad__11,"[""02fb94f3"", ""0465b7ad""]"
1,pass_1,pass_1_shard_003,logs/exports/twinkl_754/shards/pass_1/pass_1_shard_003.jsonl,logs/exports/twinkl_754/results/pass_1/shards/pass_1_shard_003_results.jsonl,24,4,056f46ad__0,075f8fdb__7,"[""056f46ad"", ""058722a1"", ""06f1d745"", ""075f8fdb""]"
1,pass_1,pass_1_shard_004,logs/exports/twinkl_754/shards/pass_1/pass_1_shard_004.jsonl,logs/exports/twinkl_754/results/pass_1/shards/pass_1_shard_004_results.jsonl,23,3,08c7f073__0,0ad04582__10,"[""08c7f073"", ""0a2fe15c"", ""0ad04582""]"
1,pass_1,pass_1_shard_005,logs/exports/twinkl_754/shards/pass_1/pass_1_shard_005.jsonl,logs/exports/twinkl_754/results/pass_1/shards/pass_1_shard_005_results.jsonl,17,2,0d272008__0,0d42f985__8,"[""0d272008"", ""0d42f985""]"
1,pass_1,pass_1_shard_006,logs/exports/twinkl_754/shards/pass_1/pass_1_shard_006.jsonl,logs/exports/twinkl_754/results/pass_1/shards/pass_1_shard_006_results.jsonl,23,4,0e9a45e9__0,11a31f12__7,"[""0e9a45e9"", ""110fcd4f"", ""114c62d8"", ""11a31f12""]"
1,pass_1,pass_1_shard_007,logs/exports/twinkl_754/shards/pass_1/pass_1_shard_007.jsonl,logs/exports/twinkl_754/results/pass_1/shards/pass_1_shard_007_results.jsonl,24,2,11de77e8__0,11fa5348__11,"[""11de77e8"", ""11fa5348""]"
1,pass_1,pass_1_shard_008,logs/exports/twinkl_754/shards/pass_1/pass_1_shard_008.jsonl,logs/exports/twinkl_754/results/pass_1/shards/pass_1_shard_008_results.jsonl,23,3,127aefff__0,152df7a4__7,"[""127aefff"", ""1496159d"", ""152df7a4""]"
1,pass_1,pass_1_shard_009,logs/exports/twinkl_754/shards/pass_1/pass_1_shard_009.jsonl,logs/exports/twinkl_754/results/pass_1/shards/pass_1_shard_009_results.jsonl,20,2,15f8d4b9__0,1628bd07__11,"[""15f8d4b9"", ""1628bd07""]"
1,pass_1,pass_1_shard_010,logs/exports/twinkl_754/shards/pass_1/pass_1_shard_010.jsonl,logs/exports/twinkl_754/results/pass_1/shards/pass_1_shard_010_results.jsonl,17,3,18415364__0,1b8b7276__8,"[""18415364"", ""1ae9b1c1"", ""1b8b7276""]"
1,pass_1,pass_1_shard_011,logs/exports/twinkl_754/shards/pass_1/pass_1_shard_011.jsonl,logs/exports/twinkl_754/results/pass_1/shards/pass_1_shard_011_results.jsonl,24,3,1bcd8599__0,1ed90155__5,"[""1bcd8599"", ""1d529c71"", ""1ed90155""]"
1,pass_1,pass_1_shard_012,logs/exports/twinkl_754/shards/pass_1/pass_1_shard_012.jsonl,logs/exports/twinkl_754/results/pass_1/shards/pass_1_shard_012_results.jsonl,13,2,1f86f569__0,20730018__8,"[""1f86f569"", ""20730018""]"
1,pass_1,pass_1_shard_013,logs/exports/twinkl_754/shards/pass_1/pass_1_shard_013.jsonl,logs/exports/twinkl_754/results/pass_1/shards/pass_1_shard_013_results.jsonl,18,2,22b117be__0,236d4507__5,"[""22b117be"", ""236d4507""]"
1,pass_1,pass_1_shard_014,logs/exports/twinkl_754/shards/pass_1/pass_1_shard_014.jsonl,logs/exports/twinkl_754/results/pass_1/shards/pass_1_shard_014_results.jsonl,20,2,23d101f8__0,2541429a__8,"[""23d101f8"", ""2541429a""]"
1,pass_1,pass_1_shard_015,logs/exports/twinkl_754/shards/pass_1/pass_1_shard_015.jsonl,logs/exports/twinkl_754/results/pass_1/shards/pass_1_shard_015_results.jsonl,14,2,2719f938__0,2a4a97ee__4,"[""2719f938"", ""2a4a97ee""]"
1,pass_1,pass_1_shard_016,logs/exports/twinkl_754/shards/pass_1/pass_1_shard_016.jsonl,logs/exports/twinkl_754/results/pass_1/shards/pass_1_shard_016_results.jsonl,23,2,2d928d8a__0,2da4f100__10,"[""2d928d8a"", ""2da4f100""]"
1,pass_1,pass_1_shard_017,logs/exports/twinkl_754/shards/pass_1/pass_1_shard_017.jsonl,logs/exports/twinkl_754/results/pass_1/shards/pass_1_shard_017_results.jsonl,19,2,2e6270bb__0,344ea8f7__8,"[""2e6270bb"", ""344ea8f7""]"
1,pass_1,pass_1_shard_018,logs/exports/twinkl_754/shards/pass_1/pass_1_shard_018.jsonl,logs/exports/twinkl_754/results/pass_1/shards/pass_1_shard_018_results.jsonl,20,2,3a3b15e4__0,3a517a79__8,"[""3a3b15e4"", ""3a517a79""]"
1,pass_1,pass_1_shard_019,logs/exports/twinkl_754/shards/pass_1/pass_1_shard_019.jsonl,logs/exports/twinkl_754/results/pass_1/shards/pass_1_shard_019_results.jsonl,15,2,3b836198__0,3b8b0795__7,"[""3b836198"", ""3b8b0795""]"
1,pass_1,pass_1_shard_020,logs/exports/twinkl_754/shards/pass_1/pass_1_shard_020.jsonl,logs/exports/twinkl_754/results/pass_1/shards/pass_1_shard_020_results.jsonl,22,2,3cfa2ebf__0,3dfb718b__10,"[""3cfa2ebf"", ""3dfb718b""]"
1,pass_1,pass_1_shard_021,logs/exports/twinkl_754/shards/pass_1/pass_1_shard_021.jsonl,logs/exports/twinkl_754/results/pass_1/shards/pass_1_shard_021_results.jsonl,24,5,3dfe4749__0,4236a5ff__1,"[""3dfe4749"", ""3ec38c16"", ""3ec75d68"", ""3f984932"", ""4236a5ff""]"
1,pass_1,pass_1_shard_022,logs/exports/twinkl_754/shards/pass_1/pass_1_shard_022.jsonl,logs/exports/twinkl_754/results/pass_1/shards/pass_1_shard_022_results.jsonl,20,3,42d9f988__0,4403b4f9__1,"[""42d9f988"", ""43f4507b"", ""4403b4f9""]"
