case_id,dimension,comparison,source_label,target_label,is_flip
hedonism__2da4f100__0,hedonism,full_context_vs_profile_only,-1,-1,false
hedonism__440e5deb__1,hedonism,full_context_vs_profile_only,0,0,false
hedonism__440e5deb__3,hedonism,full_context_vs_profile_only,1,1,false
hedonism__440e5deb__4,hedonism,full_context_vs_profile_only,1,1,false
hedonism__663cb334__3,hedonism,full_context_vs_profile_only,0,1,true
hedonism__663cb334__4,hedonism,full_context_vs_profile_only,0,1,true
hedonism__7a086972__1,hedonism,full_context_vs_profile_only,0,0,false
hedonism__7a086972__6,hedonism,full_context_vs_profile_only,1,1,false
hedonism__e809d252__4,hedonism,full_context_vs_profile_only,1,1,false
hedonism__f2a0de6f__5,hedonism,full_context_vs_profile_only,0,0,false
hedonism__f2a0de6f__8,hedonism,full_context_vs_profile_only,0,0,false
hedonism__f990a261__1,hedonism,full_context_vs_profile_only,-1,-1,false
hedonism__f990a261__10,hedonism,full_context_vs_profile_only,-1,-1,false
hedonism__f990a261__11,hedonism,full_context_vs_profile_only,1,-1,true
security__58d843b6__10,security,full_context_vs_profile_only,0,0,false
security__58d843b6__3,security,full_context_vs_profile_only,0,0,false
security__58d843b6__7,security,full_context_vs_profile_only,1,1,false
security__606f182e__2,security,full_context_vs_profile_only,-1,-1,false
security__606f182e__6,security,full_context_vs_profile_only,0,0,false
security__755c4960__8,security,full_context_vs_profile_only,-1,-1,false
security__799f3751__1,security,full_context_vs_profile_only,0,0,false
security__799f3751__2,security,full_context_vs_profile_only,0,0,false
security__7a086972__0,security,full_context_vs_profile_only,0,0,false
security__7a086972__5,security,full_context_vs_profile_only,0,0,false
security__881c7960__1,security,full_context_vs_profile_only,1,1,false
security__a13aa34b__5,security,full_context_vs_profile_only,1,0,true
security__e74a0721__1,security,full_context_vs_profile_only,0,0,false
security__f2a0de6f__4,security,full_context_vs_profile_only,0,0,false
self_direction__5d145c6f__0,self_direction,full_context_vs_profile_only,0,1,true
self_direction__606f182e__1,self_direction,full_context_vs_profile_only,1,0,true
self_direction__f990a261__2,self_direction,full_context_vs_profile_only,1,1,false
